cell_id,count,mean,std,min,25%,50%,75%,max
8700,22.0,2.227272727272727,0.9223065383316713,1.0,2.0,2.0,3.0,4.0
8701,18.0,1.8888888888888888,0.9633818428657448,1.0,1.0,2.0,2.75,4.0
8702,19.0,2.3684210526315788,0.760885910252682,1.0,2.0,2.0,3.0,4.0
8703,21.0,1.9523809523809523,0.973457265430305,1.0,1.0,2.0,3.0,4.0
8704,19.0,2.8947368421052633,1.4100723717480785,1.0,2.0,3.0,4.0,6.0
8705,20.0,4.05,1.9049796241485244,1.0,3.0,4.0,5.25,8.0
8706,22.0,3.6363636363636362,1.9650628136199262,1.0,2.0,4.0,5.0,7.0
8707,22.0,3.590909090909091,2.174726932154295,1.0,2.0,3.0,4.75,8.0
8708,21.0,2.761904761904762,1.3749458863810569,1.0,2.0,2.0,3.0,6.0
8709,21.0,2.7142857142857144,1.3835771443203715,1.0,2.0,3.0,3.0,7.0
8710,23.0,3.782608695652174,1.3802674885401558,1.0,3.0,4.0,4.5,6.0
8711,22.0,4.090909090909091,2.524340383604076,1.0,2.0,3.5,5.0,10.0
8712,22.0,4.318181818181818,2.0790648913660252,1.0,3.0,4.0,5.75,8.0
8713,23.0,6.304347826086956,3.5088820106163268,1.0,4.5,6.0,9.0,13.0
8714,22.0,4.909090909090909,2.368626101855168,1.0,3.0,5.0,6.75,10.0
8715,22.0,4.318181818181818,2.124379206494691,1.0,3.0,4.0,6.0,9.0
8716,22.0,5.090909090909091,2.2658771224846097,1.0,4.0,5.0,6.75,9.0
8717,21.0,4.142857142857143,2.1745278633697547,1.0,3.0,4.0,5.0,10.0
8718,23.0,7.173913043478261,3.7616748435316016,1.0,4.5,6.0,10.5,14.0
8719,23.0,7.173913043478261,4.886457853673888,1.0,3.0,6.0,10.0,19.0
8720,23.0,6.434782608695652,3.314240444403538,1.0,4.0,6.0,9.5,12.0
8721,23.0,6.173913043478261,3.6137637633842927,1.0,3.5,6.0,8.0,14.0
8722,23.0,6.130434782608695,3.223554613749562,1.0,3.5,6.0,8.0,13.0
8723,22.0,6.636363636363637,3.7739136506316946,1.0,4.0,6.0,8.75,18.0
8724,19.0,1.6842105263157894,0.9459053029269173,1.0,1.0,1.0,2.0,4.0
8725,18.0,2.0555555555555554,0.9375953110592339,1.0,1.0,2.0,3.0,4.0
8726,18.0,2.1666666666666665,0.8574929257125442,1.0,2.0,2.0,3.0,4.0
8727,17.0,2.2941176470588234,0.919558717697852,1.0,2.0,2.0,3.0,4.0
8728,20.0,2.9,1.9439514830419642,1.0,1.0,2.5,4.0,7.0
8729,20.0,2.8,1.436369692919216,1.0,2.0,2.5,3.25,6.0
8730,20.0,2.2,1.472555959083246,1.0,1.0,2.0,2.25,6.0
8731,20.0,2.25,1.5517392618742702,1.0,1.0,2.0,3.25,6.0
8732,21.0,2.1904761904761907,1.1670067531530235,1.0,1.0,2.0,3.0,4.0
8733,22.0,2.909090909090909,1.3419634126405242,1.0,2.0,3.0,4.0,6.0
8734,21.0,2.0952380952380953,0.9436504599035547,1.0,1.0,2.0,3.0,4.0
8735,20.0,1.75,0.910465468000326,1.0,1.0,2.0,2.0,4.0
8736,16.0,2.0625,1.3400870618483463,1.0,1.0,1.5,3.0,5.0
8737,20.0,2.15,1.0399898784932577,1.0,1.0,2.0,3.0,4.0
8738,21.0,2.8095238095238093,1.4006801069140526,1.0,2.0,3.0,4.0,5.0
8739,18.0,2.111111111111111,0.9633818428657448,1.0,1.25,2.0,2.75,4.0
8740,18.0,1.8333333333333333,0.923548145182799,1.0,1.0,2.0,2.0,4.0
8741,20.0,2.2,1.3218806379747876,1.0,1.0,2.0,3.0,5.0
8742,21.0,1.7142857142857142,0.9023778112773574,1.0,1.0,1.0,2.0,4.0
8743,18.0,2.111111111111111,0.9002541398626662,1.0,1.25,2.0,3.0,4.0
8744,18.0,1.8888888888888888,1.1826634392157036,1.0,1.0,2.0,2.0,6.0
8745,18.0,2.2777777777777777,1.178511301977579,1.0,1.0,2.0,3.0,5.0
8746,22.0,2.1818181818181817,1.1806521053804944,1.0,1.0,2.0,2.75,5.0
8747,20.0,2.6,1.5008769366431642,1.0,1.0,3.0,3.25,6.0
8748,22.0,3.1818181818181817,1.9913231694950886,1.0,1.25,3.0,4.0,7.0
8749,22.0,2.227272727272727,0.9725674505593151,1.0,1.25,2.0,3.0,4.0
8750,20.0,3.3,1.6889735281961553,1.0,2.0,3.0,4.0,7.0
8751,17.0,1.9411764705882353,0.747545001596402,1.0,1.0,2.0,2.0,3.0
8752,21.0,2.619047619047619,1.8021151593666394,1.0,1.0,2.0,3.0,8.0
8753,22.0,3.1363636363636362,1.67034226733424,1.0,2.0,3.0,4.75,6.0
8754,21.0,2.6666666666666665,1.3165611772087666,1.0,2.0,3.0,4.0,5.0
8755,20.0,1.9,0.6407232755171874,1.0,1.75,2.0,2.0,3.0
8756,19.0,1.894736842105263,1.1496249070460265,1.0,1.0,2.0,2.0,5.0
8757,17.0,1.8823529411764706,1.5363248737318085,1.0,1.0,1.0,2.0,6.0
8758,19.0,2.0,0.9428090415820634,1.0,1.0,2.0,3.0,4.0
8759,16.0,1.5,0.6324555320336759,1.0,1.0,1.0,2.0,3.0
8760,19.0,1.736842105263158,1.097578408394179,1.0,1.0,1.0,2.0,5.0
8761,19.0,1.631578947368421,0.760885910252682,1.0,1.0,1.0,2.0,3.0
8762,20.0,1.75,0.9665456669582609,1.0,1.0,1.5,2.0,4.0
8763,18.0,2.111111111111111,0.8323523637957303,1.0,2.0,2.0,2.75,4.0
8764,19.0,1.7894736842105263,0.8549819600709617,1.0,1.0,2.0,2.0,4.0
